reaction,n,PRR,ROR,ROR_IC95_low,ROR_IC95_high,Chi2,signal_confirmed
Gastroenteritis salmonella,39,4.349,4.349,3.027,6.249,70.06,True
Inguinal mass,6,4.349,4.349,1.726,10.956,10.78,True
Biopsy skin,3,4.349,4.349,1.177,16.064,5.39,True
Intestinal prolapse,24,4.349,4.349,2.74,6.903,43.11,True
Sarcoma metastatic,3,4.349,4.349,1.177,16.064,5.39,True
Clumsiness,74,4.31,4.31,3.314,5.606,131.33,True
Ureterolithiasis,47,4.258,4.258,3.064,5.919,82.05,True
Renal mass,55,4.246,4.246,3.132,5.756,95.63,True
Anaemia vitamin B12 deficiency,22,4.221,4.221,2.61,6.827,37.94,True
Stoma site haemorrhage,134,4.213,4.213,3.468,5.119,230.49,True
Rectal ulcer,30,4.208,4.209,2.789,6.351,51.53,True
Transferrin saturation decreased,29,4.204,4.204,2.766,6.389,49.74,True
Anal ulcer,19,4.201,4.201,2.505,7.046,32.56,True
Postoperative wound infection,324,4.181,4.183,3.691,4.741,551.55,True
Intraductal papillary mucinous neoplasm,16,4.175,4.175,2.378,7.331,27.18,True
Myelocyte count increased,7,4.151,4.151,1.773,9.717,11.8,True
Infusion site paraesthesia,13,4.137,4.137,2.217,7.72,21.8,True
Plicated tongue,19,4.131,4.131,2.466,6.921,31.81,True
Radiation proctitis,6,4.12,4.12,1.645,10.316,10.01,True
Anaemia megaloblastic,6,4.12,4.12,1.645,10.316,10.01,True
Umbilical hernia,243,4.117,4.119,3.565,4.758,404.89,True
Gastrointestinal carcinoma,64,4.113,4.113,3.106,5.448,106.49,True
Pulmonary granuloma,28,4.104,4.105,2.684,6.276,46.45,True
Small intestine carcinoma,20,4.077,4.077,2.468,6.736,32.87,True
Salivary duct obstruction,5,4.077,4.077,1.494,11.129,8.22,True
Stomach mass,48,4.04,4.04,2.923,5.585,77.87,True
Abdominal rigidity,121,4.037,4.038,3.293,4.951,196.11,True
Body temperature decreased,577,4.034,4.037,3.677,4.433,934.12,True
Otolithiasis,4,4.014,4.014,1.309,12.311,6.43,True
Stoma site induration,4,4.014,4.014,1.309,12.311,6.43,True
Human anaplasmosis,8,4.014,4.014,1.817,8.867,12.86,True
Uterine malposition,4,4.014,4.014,1.309,12.311,6.43,True
Abdominal distension,3976,3.988,4.011,3.87,4.156,6331.24,True
Pelvic floor dysfunction,22,3.986,3.986,2.473,6.426,35.02,True
Rectal neoplasm,7,3.971,3.971,1.704,9.253,11.08,True
Dupuytren's contracture,23,3.948,3.948,2.476,6.295,36.1,True
Lymphangiectasia intestinal,3,3.914,3.914,1.077,14.222,4.65,True
Muscle contusion,3,3.914,3.914,1.077,14.222,4.65,True
Parasitic gastroenteritis,6,3.914,3.914,1.572,9.746,9.3,True
Eyelid cyst,12,3.914,3.914,2.053,7.461,18.6,True
Cutaneous T-cell lymphoma recurrent,3,3.914,3.914,1.077,14.222,4.65,True
Diverticulitis,908,3.911,3.916,3.636,4.218,1405.76,True
Bladder neoplasm,49,3.898,3.898,2.833,5.364,75.5,True
Loss of employment,38,3.873,3.873,2.697,5.563,58.0,True
Infected skin ulcer,53,3.841,3.842,2.828,5.219,79.93,True
Atypical mycobacterial pneumonia,10,3.837,3.837,1.896,7.767,15.06,True
Barrett's oesophagus,62,3.833,3.834,2.888,5.089,93.21,True
Dairy intolerance,27,3.829,3.829,2.493,5.88,40.52,True
Groin abscess,48,3.772,3.773,2.736,5.202,70.46,True
Gastrointestinal sounds abnormal,208,3.758,3.76,3.222,4.387,303.64,True
Gastrointestinal motility disorder,203,3.746,3.747,3.205,4.38,294.86,True
Uterine contractions during pregnancy,8,3.727,3.728,1.699,8.178,11.53,True
Magnetic resonance imaging head abnormal,36,3.727,3.728,2.574,5.399,51.9,True
Sinobronchitis,4,3.727,3.728,1.227,11.324,5.77,True
Palatal ulcer,4,3.727,3.728,1.227,11.324,5.77,True
Incision site haematoma,4,3.727,3.728,1.227,11.324,5.77,True
Gastrointestinal ulcer,45,3.716,3.716,2.668,5.175,64.57,True
Heart rate increased,3166,3.716,3.733,3.588,3.883,4543.46,True
Breast cancer female,261,3.701,3.703,3.227,4.248,372.27,True
Infusion site extravasation,463,3.699,3.701,3.338,4.104,659.8,True
Iron deficiency anaemia,284,3.694,3.696,3.239,4.216,403.9,True
Flank pain,297,3.68,3.681,3.236,4.187,419.89,True
Gluten sensitivity,49,3.653,3.653,2.661,5.015,68.5,True
Gastrointestinal neoplasm,21,3.653,3.653,2.252,5.927,29.36,True
Renal colic,58,3.638,3.638,2.719,4.867,80.57,True
Heart rate decreased,1240,3.634,3.64,3.418,3.877,1719.58,True
Ear inflammation,35,3.624,3.624,2.492,5.27,48.34,True
Yersinia infection,5,3.624,3.624,1.345,9.761,6.91,True
Gouty arthritis,15,3.624,3.624,2.045,6.421,20.72,True
Dark circles under eyes,29,3.603,3.603,2.389,5.436,39.7,True
Ear congestion,88,3.599,3.599,2.843,4.558,120.23,True
Renal artery stenosis,16,3.599,3.599,2.069,6.26,21.86,True
Gastrointestinal wall thickening,65,3.593,3.594,2.731,4.729,88.59,True
Postoperative adhesion,11,3.588,3.588,1.841,6.992,14.96,True
Induration,36,3.585,3.585,2.479,5.185,48.89,True
Vulvovaginal dryness,66,3.573,3.573,2.721,4.692,89.16,True
Herpes ophthalmic,49,3.571,3.572,2.604,4.899,66.15,True
Salivary hyposecretion,24,3.558,3.558,2.266,5.588,32.21,True
Burn infection,3,3.558,3.558,0.993,12.754,4.03,False
Urinary occult blood,3,3.558,3.558,0.993,12.754,4.03,False
Peripheral nerve decompression,3,3.558,3.558,0.993,12.754,4.03,False
Occult blood positive,6,3.558,3.558,1.443,8.775,8.05,True
Subileus,28,3.547,3.547,2.336,5.386,37.39,True
Oesophageal pain,87,3.536,3.536,2.79,4.482,115.62,True
Lactose intolerance,70,3.526,3.526,2.708,4.592,92.62,True
Ear neoplasm malignant,14,3.512,3.513,1.947,6.338,18.41,True
Peripheral artery aneurysm,7,3.512,3.512,1.525,8.092,9.21,True
Intestinal tuberculosis,4,3.479,3.479,1.155,10.482,5.18,True
Victim of crime,24,3.479,3.479,2.218,5.458,31.09,True
Blood electrolytes abnormal,30,3.464,3.464,2.316,5.181,38.58,True
Respiratory rate increased,464,3.432,3.434,3.1,3.804,587.93,True
Abscess limb,147,3.412,3.413,2.846,4.093,184.58,True
Pyoderma,13,3.392,3.392,1.843,6.244,16.16,True
Asbestosis,7,3.382,3.382,1.473,7.767,8.66,True
Bacterial vaginosis,72,3.379,3.379,2.608,4.379,88.96,True
H1N1 influenza,22,3.377,3.377,2.113,5.397,27.15,True
Inflammatory bowel disease,170,3.371,3.371,2.848,3.991,209.21,True
Pelvic inflammatory disease,40,3.367,3.367,2.378,4.767,49.13,True
Iritis,60,3.331,3.331,2.509,4.423,72.41,True
Pancreatic pseudocyst,13,3.325,3.326,1.809,6.114,15.65,True
Haemangioma of liver,21,3.301,3.301,2.045,5.328,24.97,True
Blood pressure systolic decreased,154,3.283,3.284,2.752,3.918,181.42,True
Cytomegalovirus colitis,80,3.272,3.272,2.561,4.181,93.71,True
Blood albumin abnormal,21,3.262,3.262,2.022,5.262,24.47,True
Procedural pneumothorax,4,3.262,3.262,1.09,9.756,4.66,True
Exertional rhabdomyolysis,3,3.262,3.262,0.92,11.558,3.5,False
Bacterial prostatitis,3,3.262,3.262,0.92,11.558,3.5,False
Blood 25-hydroxycholecalciferol decreased,4,3.262,3.262,1.09,9.756,4.66,True
Enzyme level increased,22,3.262,3.262,2.044,5.204,25.63,True
Hepatic vascular thrombosis,7,3.262,3.262,1.425,7.467,8.16,True
Burnout syndrome,15,3.262,3.262,1.852,5.743,17.48,True
Male orgasmic disorder,8,3.262,3.262,1.503,7.078,9.32,True
Incision site swelling,13,3.262,3.262,1.776,5.989,15.15,True
Muscle abscess,12,3.262,3.262,1.733,6.14,13.98,True
Gastrointestinal ulcer haemorrhage,18,3.262,3.262,1.946,5.467,20.97,True
Diarrhoea,18473,3.234,3.317,3.263,3.372,21221.51,True
Off label use,31994,3.232,3.379,3.337,3.422,36713.2,True
Tuberculin test positive,16,3.211,3.211,1.858,5.55,18.16,True
Nasal ulcer,42,3.204,3.205,2.286,4.491,47.49,True
Stoma site infection,40,3.202,3.202,2.266,4.525,45.16,True
Post procedural sepsis,27,3.202,3.202,2.102,4.879,30.5,True
Uterine infection,22,3.189,3.189,2.001,5.083,24.67,True
Medical device site infection,53,3.186,3.187,2.36,4.303,59.35,True
Catheter site discomfort,19,3.178,3.178,1.925,5.247,21.18,True
Ureteric obstruction,19,3.178,3.178,1.925,5.247,21.18,True
Iron deficiency,223,3.162,3.163,2.733,3.662,246.49,True
Pharyngeal inflammation,39,3.16,3.16,2.228,4.484,43.06,True
Respiratory tract infection bacterial,15,3.156,3.156,1.796,5.548,16.53,True
Complicated appendicitis,7,3.149,3.149,1.38,7.189,7.68,True
Stoma site pain,81,3.145,3.145,2.468,4.009,88.69,True
Heart rate irregular,399,3.138,3.139,2.814,3.502,435.09,True
Lower respiratory tract congestion,69,3.137,3.137,2.412,4.08,75.19,True
Drug effect less than expected,995,3.136,3.14,2.93,3.366,1084.13,True
Biopsy lung,6,3.131,3.131,1.284,7.633,6.52,True
General symptom,121,3.12,3.12,2.559,3.805,130.63,True
Blood iron decreased,637,3.114,3.116,2.858,3.398,685.36,True
Hypophagia,617,3.109,3.112,2.85,3.397,662.13,True
Renal cyst infection,5,3.106,3.106,1.171,8.238,5.36,True
Resorption bone increased,10,3.106,3.106,1.559,6.191,10.71,True
Increased upper airway secretion,67,3.056,3.057,2.343,3.988,69.75,True
Substance use,78,3.038,3.038,2.374,3.887,80.32,True
Lower respiratory tract infection bacterial,17,3.038,3.038,1.792,5.151,17.51,True
Vitamin B12 increased,34,3.017,3.018,2.078,4.382,34.6,True
Intra-abdominal fluid collection,58,3.015,3.015,2.266,4.011,58.92,True
Small airways disease,6,3.011,3.011,1.239,7.315,6.08,True
Induced labour,3,3.011,3.011,0.858,10.565,3.04,False
Viral pericarditis,3,3.011,3.011,0.858,10.565,3.04,False
Adnexa uteri pain,12,3.011,3.011,1.607,5.64,12.16,True
Periorbital dermatitis,6,3.011,3.011,1.239,7.315,6.08,True
Erythema nodosum,110,3.002,3.003,2.441,3.694,110.91,True
Bartholin's cyst,8,2.982,2.982,1.383,6.428,7.97,True
Salmonellosis,66,2.979,2.98,2.281,3.893,65.63,True
Pharyngeal abscess,10,2.965,2.965,1.492,5.892,9.86,True
Cytomegalovirus gastrointestinal infection,5,2.965,2.965,1.123,7.83,4.93,True
Gastritis erosive,59,2.96,2.961,2.232,3.928,57.99,True
Pelvic abscess,28,2.946,2.946,1.955,4.44,27.27,True
Oesophagitis,226,2.94,2.94,2.545,3.397,219.24,True
Ear injury,16,2.94,2.94,1.709,5.057,15.53,True
Appendicitis,237,2.936,2.937,2.551,3.382,229.44,True
Testis cancer,13,2.924,2.924,1.602,5.336,12.49,True
Complication of pregnancy,13,2.924,2.924,1.602,5.336,12.49,True
Fungal pharyngitis,25,2.912,2.912,1.888,4.493,23.83,True
Biliary cyst,4,2.899,2.899,0.981,8.566,3.78,False
Liver function test decreased,14,2.899,2.899,1.625,5.174,13.24,True
Brain stem stroke,6,2.899,2.899,1.197,7.022,5.67,True
Vaginal infection,128,2.889,2.89,2.386,3.499,120.23,True
Ectopic pregnancy,54,2.887,2.887,2.15,3.877,50.66,True
Mental fatigue,64,2.879,2.879,2.197,3.775,59.73,True
Atrophic vulvovaginitis,22,2.87,2.87,1.809,4.554,20.41,True
Defaecation disorder,18,2.864,2.864,1.719,4.77,16.63,True
Colitis,1065,2.825,2.829,2.647,3.023,958.75,True
Duodenal ulcer haemorrhage,35,2.819,2.819,1.956,4.062,31.37,True
Pharyngitis streptococcal,480,2.816,2.817,2.553,3.11,429.34,True
Tinea infection,28,2.81,2.81,1.868,4.227,24.95,True
Stoma site irritation,14,2.81,2.81,1.577,5.006,12.47,True
Pyoderma gangrenosum,123,2.805,2.806,2.309,3.409,109.24,True
Post procedural infection,289,2.797,2.798,2.464,3.177,255.19,True
Constipation,5753,2.783,2.803,2.724,2.884,5031.13,True
Investigation noncompliance,13,2.78,2.78,1.528,5.06,11.35,True
Mediastinitis,13,2.78,2.78,1.528,5.06,11.35,True
Appendicitis perforated,57,2.775,2.775,2.085,3.693,49.56,True
Abortion spontaneous,556,2.761,2.763,2.521,3.028,478.79,True
Cellulitis staphylococcal,11,2.76,2.76,1.44,5.289,9.46,True
HELLP syndrome,11,2.76,2.76,1.44,5.289,9.46,True
Faecal vomiting,16,2.747,2.747,1.602,4.709,13.63,True
Oesophageal perforation,12,2.747,2.747,1.474,5.119,10.23,True
Vaccination site reaction,4,2.747,2.747,0.934,8.074,3.41,False
Hypertensive emergency,21,2.74,2.74,1.712,4.386,17.81,True
Steatorrhoea,30,2.737,2.737,1.846,4.057,25.39,True
Duodenal stenosis,13,2.735,2.736,1.504,4.974,10.99,True
Purulent discharge,90,2.724,2.725,2.171,3.419,75.47,True
Cystitis radiation,5,2.718,2.718,1.037,7.124,4.17,True
Placenta praevia,10,2.718,2.718,1.375,5.372,8.35,True
Catheter site warmth,12,2.699,2.699,1.45,5.026,9.88,True
Bronchitis viral,20,2.69,2.69,1.662,4.353,16.35,True
Gut fermentation syndrome,7,2.686,2.686,1.191,6.059,5.71,True
Infusion site vesicles,38,2.68,2.68,1.89,3.799,30.83,True
Pustule,100,2.673,2.674,2.156,3.316,80.74,True
Gastrointestinal stoma output increased,171,2.672,2.672,2.267,3.15,137.9,True
Perineal abscess,9,2.669,2.669,1.303,5.466,7.24,True
Brain cancer metastatic,10,2.662,2.663,1.349,5.256,8.01,True
Incision site pain,22,2.658,2.658,1.68,4.203,17.55,True
Joint abscess,11,2.658,2.658,1.39,5.082,8.78,True
Metabolic dysfunction-associated steatohepatitis,27,2.648,2.649,1.751,4.006,21.39,True
Malaise,8591,2.642,2.669,2.608,2.732,6769.12,True
Tongue ulceration,49,2.642,2.642,1.943,3.591,38.61,True
Granuloma annulare,17,2.64,2.64,1.568,4.447,13.38,True
Endometriosis,92,2.621,2.621,2.095,3.279,71.31,True
Diversion proctitis,7,2.609,2.609,1.159,5.874,5.38,True
Ear infection viral,3,2.609,2.609,0.755,9.013,2.3,False
Inappropriate sinus tachycardia,3,2.609,2.609,0.755,9.013,2.3,False
Infusion site coldness,12,2.609,2.609,1.404,4.85,9.22,True
Drug specific antibody absent,3,2.609,2.609,0.755,9.013,2.3,False
Gingival blister,6,2.609,2.609,1.086,6.269,4.61,True
Bronchitis chronic,41,2.609,2.609,1.866,3.649,31.5,True
Hepatitis B surface antigen positive,4,2.609,2.609,0.892,7.634,3.07,False
Mycotic allergy,69,2.602,2.602,2.009,3.369,52.69,True
Infectious mononucleosis,54,2.6,2.6,1.941,3.482,41.16,True
Drug level below therapeutic,154,2.576,2.576,2.167,3.062,115.15,True
Procedural vomiting,12,2.566,2.566,1.382,4.766,8.9,True
Prostate infection,22,2.563,2.563,1.623,4.048,16.27,True
Costochondritis,33,2.547,2.548,1.754,3.699,24.11,True
Coccydynia,53,2.533,2.533,1.887,3.399,38.24,True
Ovarian cyst,154,2.53,2.531,2.13,3.008,110.88,True
Bronchial carcinoma,6,2.525,2.525,1.053,6.052,4.3,True
Body temperature increased,502,2.512,2.514,2.285,2.766,355.87,True
Haemoglobin abnormal,173,2.511,2.511,2.134,2.955,122.47,True
Gastric antral vascular ectasia,10,2.509,2.509,1.275,4.936,7.07,True
Dacryocanaliculitis,5,2.509,2.509,0.963,6.534,3.53,False
Nasal turbinate hypertrophy,14,2.502,2.502,1.412,4.433,9.84,True
Ovarian cyst ruptured,23,2.501,2.501,1.601,3.907,16.14,True
Gamma-glutamyltransferase abnormal,17,2.492,2.492,1.483,4.187,11.84,True
Oesophageal polyp,8,2.485,2.485,1.167,5.293,5.54,True
Sputum retention,33,2.46,2.46,1.696,3.569,22.35,True
High risk pregnancy,13,2.458,2.458,1.359,4.446,8.79,True
Vein rupture,84,2.452,2.452,1.942,3.096,56.45,True
Cystitis,681,2.441,2.443,2.251,2.651,453.17,True
Aphthous ulcer,280,2.435,2.436,2.144,2.768,185.39,True
Mean cell volume decreased,33,2.432,2.432,1.677,3.527,21.79,True
Tonsillar disorder,19,2.43,2.43,1.489,3.966,12.52,True
Accident at work,46,2.43,2.43,1.774,3.329,30.3,True
Giardiasis,8,2.427,2.427,1.141,5.163,5.26,True
Acrochordon,30,2.416,2.416,1.636,3.567,19.51,True
Blood magnesium decreased,238,2.411,2.411,2.1,2.769,154.03,True
Colon cancer metastatic,24,2.409,2.409,1.558,3.723,15.5,True
Gastric ulcer,261,2.4,2.4,2.103,2.739,167.15,True
Gastrointestinal microorganism overgrowth,92,2.4,2.401,1.922,2.999,58.97,True
Splenic lesion,9,2.396,2.396,1.177,4.878,5.75,True
Mastitis,41,2.388,2.388,1.712,3.331,25.97,True
Hernia,494,2.387,2.388,2.17,2.629,312.58,True
Blood pressure decreased,1573,2.385,2.389,2.264,2.521,993.32,True
Faecal volume increased,74,2.378,2.378,1.856,3.047,46.42,True
Hepatic pain,78,2.372,2.372,1.864,3.02,48.65,True
Pelvic infection,10,2.372,2.372,1.209,4.653,6.24,True
Orchitis,21,2.362,2.362,1.484,3.759,12.97,True
Incorrect product formulation administered,11,2.353,2.353,1.238,4.471,6.73,True
Stoma obstruction,38,2.35,2.35,1.663,3.319,23.18,True
Gastrointestinal candidiasis,9,2.348,2.348,1.155,4.775,5.48,True
Scar pain,9,2.348,2.348,1.155,4.775,5.48,True
Incarcerated hernia,7,2.342,2.342,1.047,5.235,4.24,True
Diaphragmatic spasm,5,2.33,2.33,0.9,6.033,2.99,False
Erythromelalgia,10,2.33,2.33,1.189,4.566,5.98,True
Vessel puncture site pain,5,2.33,2.33,0.9,6.033,2.99,False
Neck injury,67,2.325,2.325,1.793,3.015,39.87,True
Medical device site discomfort,3,2.302,2.302,0.675,7.856,1.74,False
Progressive supranuclear palsy,3,2.302,2.302,0.675,7.856,1.74,False
Oesophageal ulcer,45,2.293,2.293,1.671,3.148,25.93,True
Urine analysis abnormal,46,2.291,2.291,1.674,3.134,26.43,True
Portal hypertensive gastropathy,10,2.289,2.289,1.169,4.482,5.73,True
Anorectal swelling,10,2.289,2.289,1.169,4.482,5.73,True
Gastroenteritis viral,662,2.288,2.289,2.108,2.487,379.23,True
Cystitis interstitial,27,2.287,2.287,1.52,3.443,15.46,True
Hyperchlorhydria,46,2.273,2.273,1.662,3.109,25.95,True
Alanine aminotransferase abnormal,47,2.271,2.271,1.666,3.096,26.45,True
Viral diarrhoea,8,2.269,2.269,1.071,4.807,4.49,True
Spinal fusion acquired,4,2.269,2.269,0.785,6.561,2.25,False
Eye haematoma,13,2.261,2.261,1.255,4.075,7.24,True
Intussusception,23,2.256,2.256,1.449,3.512,12.74,True
Agoraphobia,15,2.249,2.249,1.3,3.891,8.25,True
Bile duct stone,60,2.249,2.249,1.71,2.959,32.98,True
Onychalgia,16,2.245,2.245,1.321,3.815,8.75,True
Perineal pain,16,2.245,2.245,1.321,3.815,8.75,True
Gallbladder polyp,12,2.236,2.237,1.212,4.126,6.5,True
Large intestine infection,56,2.234,2.234,1.683,2.967,30.28,True
Hemiplegic migraine,7,2.227,2.227,0.999,4.965,3.76,False
Pneumothorax spontaneous,12,2.205,2.205,1.196,4.065,6.28,True
Gingival abscess,13,2.203,2.203,1.224,3.964,6.78,True
Omphalitis,14,2.201,2.201,1.249,3.877,7.29,True
Blister infected,15,2.199,2.199,1.272,3.8,7.79,True
Intestinal haemorrhage,84,2.187,2.188,1.736,2.756,43.07,True
Large intestinal haemorrhage,37,2.184,2.184,1.542,3.094,18.9,True
Lung neoplasm,42,2.183,2.183,1.575,3.027,21.42,True
Gallbladder cancer,10,2.174,2.174,1.113,4.247,5.05,True
Brain neoplasm benign,10,2.174,2.174,1.113,4.247,5.05,True
Tooth abscess,204,2.174,2.175,1.875,2.522,103.01,True
Bladder perforation,4,2.174,2.174,0.754,6.267,2.02,False
Loss of bladder sensation,3,2.174,2.174,0.64,7.382,1.51,False
Respiratory fume inhalation disorder,8,2.174,2.174,1.029,4.596,4.04,True
Intestinal metastasis,8,2.174,2.174,1.029,4.596,4.04,True
Oropharyngeal pain,2237,2.172,2.177,2.082,2.277,1126.57,True
Oesophageal carcinoma,43,2.166,2.166,1.569,2.991,21.5,True
Stillbirth,32,2.163,2.163,1.488,3.145,15.94,True
Pharyngeal paraesthesia,54,2.161,2.161,1.62,2.882,26.84,True
Abdominal discomfort,3250,2.157,2.164,2.085,2.246,1607.79,True
Incision site discharge,16,2.152,2.152,1.268,3.652,7.87,True
Tonsillitis,139,2.149,2.149,1.796,2.571,68.06,True
Epigastric discomfort,49,2.145,2.145,1.586,2.902,23.89,True
Terminal ileitis,24,2.145,2.145,1.393,3.303,11.69,True
Furuncle,129,2.144,2.144,1.78,2.583,62.81,True
Abdominal pain upper,3806,2.139,2.147,2.075,2.222,1841.72,True
Nasopharyngitis,4991,2.136,2.147,2.083,2.212,2406.44,True
Administration site bruise,17,2.133,2.133,1.277,3.561,8.16,True
Aortic disorder,8,2.13,2.13,1.009,4.498,3.83,False
Blood sodium increased,39,2.12,2.12,1.511,2.974,18.44,True
Benign neoplasm,18,2.116,2.116,1.286,3.481,8.46,True
Extrasystoles,77,2.11,2.111,1.659,2.685,35.97,True
Urinary tract discomfort,11,2.11,2.11,1.116,3.99,5.14,True
Inflammatory marker increased,106,2.108,2.108,1.717,2.588,49.37,True
Repetitive speech,5,2.104,2.104,0.818,5.412,2.32,False
Influenza like illness,1163,2.094,2.096,1.97,2.23,531.77,True
Thyroid mass,84,2.091,2.092,1.661,2.633,38.3,True
Decreased eye contact,4,2.087,2.087,0.726,5.998,1.81,False
Bladder transitional cell carcinoma,8,2.087,2.087,0.99,4.403,3.63,False
Ophthalmic migraine,56,2.081,2.082,1.57,2.76,25.2,True
Diverticulitis intestinal perforated,18,2.078,2.078,1.264,3.418,8.07,True
Bowel movement irregularity,281,2.074,2.074,1.829,2.352,125.16,True
Vertebral foraminal stenosis,13,2.068,2.068,1.152,3.713,5.75,True
Lower respiratory tract infection,1520,2.066,2.069,1.96,2.185,670.62,True
Perineal injury,3,2.06,2.06,0.61,6.961,1.31,False
Bladder pain,47,2.044,2.044,1.503,2.78,20.12,True
Bronchitis,1520,2.041,2.044,1.936,2.158,648.18,True
Irritable bowel syndrome,647,2.037,2.038,1.876,2.214,274.36,True
Bladder cancer recurrent,17,2.035,2.035,1.221,3.392,7.19,True
Stoma site discharge,54,2.03,2.03,1.524,2.705,22.69,True
Marginal zone lymphoma,7,2.029,2.029,0.915,4.5,2.94,False
Motion sickness,35,2.029,2.029,1.421,2.898,14.69,True
Intermittent claudication,9,2.024,2.024,1.003,4.086,3.75,False
Metastases to pelvis,15,2.017,2.017,1.171,3.475,6.19,True
Streptococcal infection,131,2.015,2.016,1.677,2.423,53.92,True
Chondrocalcinosis,20,2.007,2.007,1.253,3.214,8.14,True
Superior mesenteric artery syndrome,4,2.007,2.007,0.7,5.751,1.63,False
Erosive oesophagitis,14,2.007,2.007,1.143,3.523,5.69,True
Dust allergy,66,2.002,2.003,1.545,2.595,26.67,True
Large intestinal obstruction,41,1.996,1.996,1.437,2.773,16.41,False
Mean platelet volume decreased,17,1.98,1.98,1.189,3.298,6.65,False
Abdominal injury,15,1.977,1.977,1.148,3.402,5.84,False
Blood pressure inadequately controlled,37,1.97,1.97,1.394,2.784,14.27,False
Product availability issue,1226,1.969,1.971,1.856,2.093,471.51,False
Eye inflammation,184,1.961,1.962,1.68,2.29,69.99,False
Bone neoplasm,15,1.957,1.957,1.137,3.367,5.67,False
Liver abscess,49,1.949,1.949,1.444,2.631,18.3,False
Prostate cancer metastatic,39,1.942,1.942,1.387,2.719,14.41,False
Colon cancer,193,1.941,1.942,1.669,2.259,71.22,False
Lung carcinoma cell type unspecified stage IV,20,1.933,1.933,1.208,3.091,7.28,False
Uveitis,297,1.933,1.934,1.712,2.185,108.28,False
Labyrinthitis,36,1.933,1.933,1.362,2.743,13.11,False
Hepatic steatosis,294,1.931,1.932,1.709,2.184,106.82,False
Gastroenteritis norovirus,18,1.925,1.925,1.173,3.157,6.47,False
Vitamin B complex deficiency,14,1.923,1.923,1.097,3.37,5.02,False
Urinary tract infection bacterial,52,1.922,1.922,1.436,2.571,18.61,False
Prostate cancer,279,1.911,1.911,1.685,2.167,98.11,False
Sputum discoloured,234,1.9,1.9,1.657,2.179,80.84,False
Influenza,3130,1.898,1.903,1.833,1.976,1077.44,False
Coronary artery occlusion,106,1.897,1.897,1.547,2.326,36.46,False
Gastrointestinal mucosal disorder,11,1.888,1.888,1.003,3.554,3.73,False
Bladder cancer,101,1.888,1.888,1.532,2.326,34.21,False
Incisional hernia,23,1.887,1.887,1.219,2.922,7.78,False
Precancerous skin lesion,23,1.875,1.875,1.211,2.904,7.63,False
Pelvic pain,214,1.872,1.873,1.623,2.161,70.66,False
Hypermobility syndrome,8,1.864,1.864,0.888,3.909,2.6,False
Tuberculous pleurisy,4,1.864,1.864,0.654,5.314,1.3,False
Corneal lesion,3,1.864,1.864,0.556,6.248,0.98,False
Intervertebral disc injury,7,1.864,1.864,0.844,4.115,2.28,False
Renal cyst,109,1.856,1.857,1.519,2.269,35.02,False
Gastric polyps,66,1.848,1.848,1.428,2.391,20.88,False
Change of bowel habit,30,1.846,1.846,1.26,2.706,9.47,False
Hepatic lesion,62,1.843,1.843,1.412,2.404,19.44,False
Gastrointestinal hypomotility,21,1.839,1.839,1.164,2.904,6.54,False
Oesophageal stenosis,42,1.839,1.839,1.331,2.54,13.08,False
Impaired quality of life,422,1.828,1.829,1.652,2.025,129.04,False
Vitamin D decreased,160,1.821,1.822,1.544,2.149,48.31,False
Muscle rupture,53,1.82,1.82,1.365,2.426,15.95,False
Hiatus hernia,190,1.816,1.816,1.56,2.114,56.79,False
Non-Hodgkin's lymphoma,41,1.813,1.813,1.308,2.514,12.19,False
Chest X-ray abnormal,20,1.812,1.812,1.135,2.893,5.93,False
Gestational hypertension,24,1.81,1.81,1.181,2.774,7.09,False
Blood alkaline phosphatase abnormal,27,1.806,1.806,1.208,2.702,7.93,False
Amniotic cavity infection,9,1.806,1.806,0.9,3.627,2.64,False
Subcutaneous abscess,59,1.803,1.803,1.373,2.367,17.21,False
Premature rupture of membranes,15,1.795,1.795,1.046,3.08,4.32,False
Infection parasitic,16,1.784,1.784,1.058,3.008,4.51,False
Oesophageal mass,3,1.779,1.779,0.532,5.944,0.84,False
Incision site abscess,3,1.779,1.779,0.532,5.944,0.84,False
Vulvovaginal injury,15,1.779,1.779,1.037,3.051,4.18,False
Skin cancer,320,1.777,1.777,1.581,1.997,88.79,False
Gastrointestinal tract irritation,20,1.775,1.775,1.113,2.832,5.53,False
Intestinal dilatation,25,1.773,1.773,1.167,2.692,6.88,False
Traumatic pain,8,1.769,1.769,0.845,3.702,2.19,False
Arthralgia,6896,1.769,1.779,1.735,1.825,1884.36,False
Biliary obstruction,45,1.768,1.768,1.295,2.414,12.29,False
Abdominal wall abscess,13,1.767,1.767,0.99,3.153,3.54,False
Ventricular hypertrophy,15,1.747,1.747,1.019,2.995,3.93,False
Polycystic ovarian syndrome,29,1.743,1.744,1.183,2.569,7.53,False
Blood urine present,248,1.743,1.744,1.527,1.991,64.39,False
Tongue disorder,47,1.742,1.742,1.285,2.362,12.17,False
Skin turgor decreased,10,1.739,1.74,0.899,3.365,2.58,False
Illness anxiety disorder,6,1.739,1.74,0.742,4.077,1.55,False
Tonsillar hypertrophy,30,1.732,1.732,1.183,2.535,7.61,False
Postoperative wound complication,15,1.732,1.732,1.011,2.968,3.8,False
